BPagST	ptxP	ptxA	ptxB	ptxC	ptxD	ptxE	fhaB-2400_5550	fim2	fim3
61	36	15	2	2	2	11	86	N	12
62	40	11	12	11	12	10	88	N	8
63	40	11	18	11	18	10	93	N	8
64	25	15	2	2	2	2	96	N	19
65	N	36	5	18	5	18	97	N	36
66	13	10	2	2	2	2	98	N	12
67	N	37	5	19	5	12	97	N	14
68	21	1	1	4	1	4	1	1	2
69	3	1	1	4	1	4	1	4	1
70	1	1	7	1	7	4	1	1	1
71	19	1	1	4	1	4	1	1	1
72	3	1	1	4	1	4	7	1	2
73	N	12	19	14	19	16	100	N	9
74	1	1	1	1	1	4	1	3	4
75	4	5	6	1	6	4	4	1	1
76	1	2	1	1	1	4	5	1	1
77	5	1	1	1	1	4	1	1	1
78	3	1	1	4	1	4	1	1	3
79	1	1	1	1	1	4	1	2	1
80	1	1	8	1	8	4	1	1	4
81	14	1	1	1	1	4	1	1	1
82	4	5	6	1	6	4	6	1	1
83	1	19	1	1	1	4	1	1	1
84	4	5	6	1	6	4	8	1	1
85	4	20	6	1	6	4	4	1	1
86	1	1	1	4	1	4	1	1	1
87	1	1	1	1	1	4	9	1	1
88	3	22	1	4	1	4	1	1	1
89	1	1	1	1	1	4	10	1	1
90	6	2	1	1	1	4	1	1	1
91	7	1	1	1	1	4	1	1	1
92	1	30	1	1	1	4	1	1	1
93	1	1	1	1	1	4	1	1	26
94	10	1	1	1	1	4	1	1	1
95	1	1	1	1	1	4	11	1	1
96	1	1	1	1	1	4	1	1	27
97	1	2	1	1	1	4	12	1	1
98	3	1	1	4	1	4	13	1	2
99	4	5	6	1	6	4	14	1	1
100	3	1	1	4	1	15	1	1	2
101	29	1	1	4	1	4	1	1	1
102	1	2	1	1	1	4	1	5	1
103	1	1	1	1	1	4	1	10	1
104	3	3	1	4	1	4	1	1	1
105	1	1	1	1	1	4	1	11	1
106	3	1	1	4	1	4	1	5	2
107	3	1	1	4	1	4	1	6	1
108	30	1	1	4	1	4	1	1	1
109	31	1	1	4	1	4	1	1	2
110	3	1	1	4	1	4	16	1	1
111	3	1	1	4	1	4	1	5	1
112	1	2	1	1	1	4	1	12	1
113	3	1	1	4	1	4	17	1	2
114	32	1	1	1	1	4	1	1	1
115	3	1	1	4	1	4	18	1	2
116	3	1	1	4	1	4	1	7	1
117	33	1	1	1	1	4	1	1	1
118	1	1	1	4	1	4	1	8	1
119	1	1	1	1	1	4	1	7	1
120	1	1	1	1	1	4	1	9	4
121	3	1	1	4	1	4	1	13	1
122	3	1	1	4	1	4	19	1	1
123	11	1	1	1	1	4	1	1	1
124	3	1	1	4	1	4	20	1	1
125	3	1	1	4	1	4	1	14	1
126	3	1	1	4	1	4	1	15	1
127	34	1	1	4	1	4	1	1	1
128	1	1	1	1	1	4	1	5	4
130	3	1	1	4	1	4	1	16	1
131	1	42	1	1	1	4	3	1	1
132	3	43	1	4	1	4	1	1	1
133	3	1	1	4	1	4	1	1	45
134	1	45	1	1	1	4	1	1	26
135	3	1	1	4	1	4	101	1	1
136	3	1	1	4	1	4	103	1	2
137	3	1	1	26	1	4	1	1	1
138	3	1	1	4	1	4	104	1	1
139	3	1	1	4	1	4	1	1	46
140	3	1	1	4	1	4	1	19	1
141	3	1	1	4	1	4	1	1	48
142	3	1	1	4	1	4	1	20	1
143	3	1	1	4	1	4	1	1	47
144	3	1	1	4	1	4	1	21	1
145	3	46	1	4	1	4	1	1	1
146	41	1	1	1	1	4	3	1	1
147	42	1	1	1	1	4	3	1	1
148	3	1	1	4	1	4	1	22	1
