ST	penA	mtrR	porB	ponA	gyrA	parC	23S
1	22.001	10	13	100	100	2	100
2	15.001	14	14	100	100	7	100
3	2.001	1	13	1	5	1	100
4	10.001	19	8	1	2	5	100
5	7.001	25	8	1	2	11	100
6	2.001	19	8	1	1	1	100
7	2.001	26	13	1	1	12	100
8	12.001	1	8	1	100	7	100
9	2.001	32	2	100	100	100	100
10	5.003	1	12	1	1	3	100
11	1.002	5	100	100	100	100	100
12	22.001	10	5	1	100	1	100
13	15.001	5	14	100	100	2	100
14	12.001	22	8	1	100	1	100
15	10.001	19	8	1	5	2	100
16	42.001	1	11	1	1	3	100
17	100.001	18	14	100	100	1	100
18	100.001	18	14	100	3	1	100
19	1.001	4	100	100	100	1	100
20	1.001	5	100	100	100	1	100
21	1.001	7	1	100	100	2	100
22	10.001	1	8	1	1	3	100
23	10.001	19	11	1	5	2	100
24	27.001	25	8	1	9	1	100
25	10.001	33	12	1	2	5	100
26	12.001	1	8	1	1	3	100
27	12.001	1	8	1	1	3	2
28	12.001	1	8	1	2	4	100
29	12.001	1	8	3	1	3	100
30	12.001	1	8	3	1	3	1
31	12.001	1	8	4	1	14	100
32	12.001	1	8	4	1	3	100
33	12.001	34	8	1	1	3	100
34	12.001	35	8	3	100	7	100
35	12.002	1	8	1	1	3	2
36	12.003	1	8	1	1	3	1
37	13.001	1	8	1	1	3	100
38	13.001	19	8	1	1	9	100
39	13.001	19	8	1	1	9	2
40	3.001	22	8	1	2	3	2
41	13.001	36	8	1	3	7	100
42	14.001	10	3	100	100	1	100
43	14.001	10	3	100	100	1	6
44	14.002	28	1	100	100	7	100
45	15.001	18	1	100	100	2	100
46	15.001	9	1	100	100	7	100
47	15.002	25	1	1	100	2	100
48	15.002	25	1	1	100	2	2
49	15.002	25	1	1	8	2	100
50	17.001	37	8	1	1	10	100
51	18.001	19	8	1	7	3	100
52	19.001	25	6	100	100	2	100
53	19.001	38	1	1	7	15	100
54	2.001	23	1	100	100	100	100
55	2.001	24	1	100	100	2	100
56	2.001	24	13	100	100	2	100
57	2.001	25	3	100	100	100	2
58	2.001	27	1	100	100	100	100
59	2.001	30	11	100	100	100	100
60	2.001	31	1	100	100	100	100
61	2.001	5	3	100	100	100	2
62	2.001	9	100	100	100	100	2
63	2.001	9	1	100	100	100	100
64	2.001	9	1	100	100	100	2
65	2.001	9	1	100	1	100	100
66	2.001	9	1	2	100	100	100
67	2.001	9	11	100	100	100	100
68	2.001	9	11	100	100	100	2
69	2.002	1	12	1	7	6	1
70	2.002	1	13	1	2	13	100
71	2.002	19	1	1	7	3	100
72	2.002	19	11	1	7	3	100
73	2.002	19	8	1	7	3	100
74	2.002	25	3	100	100	100	2
75	2.003	9	1	100	1	100	100
76	21.001	19	8	1	7	8	100
77	22.004	100	3	100	100	1	2
78	22.005	100	3	100	100	1	2
79	22.001	100	3	100	100	1	2
80	22.001	1	3	100	100	1	2
81	22.002	11	100	100	100	2	100
82	22.001	12	100	100	100	7	100
83	22.001	13	3	100	100	1	100
84	22.001	15	100	100	100	7	100
85	22.001	15	3	100	100	1	100
86	22.001	19	6	1	100	2	100
87	22.001	6	100	100	6	1	100
88	34.001	100	11	1	1	3	100
89	34.001	1	1	1	1	3	100
90	34.001	1	11	1	1	3	100
91	34.001	1	11	1	1	3	2
92	34.001	1	11	1	1	3	5
93	34.001	1	11	3	1	3	100
94	34.001	1	11	5	1	3	100
95	34.002	1	1	1	1	3	100
96	34.002	1	11	1	1	16	100
97	34.002	1	11	1	1	3	100
98	34.002	1	11	1	1	3	2
99	34.002	1	11	3	1	3	100
100	34.003	1	11	1	1	3	100
101	34.004	1	11	1	1	3	100
102	35.001	1	11	1	1	3	100
103	35.002	1	11	1	1	3	100
104	4.001	19	8	1	100	1	100
105	4.001	25	1	1	5	2	2
106	4.001	25	12	1	5	2	100
107	4.001	25	4	1	5	2	2
108	4.001	20	8	100	100	100	100
109	4.001	21	8	1	100	1	100
110	40.001	5	100	100	4	1	100
111	41.002	1	11	1	1	3	100
112	42.001	1	12	1	7	6	1
113	43.001	1	9	1	7	3	100
114	43.002	1	8	1	7	2	100
115	44.001	16	10	1	1	10	2
116	45.001	8	100	100	6	1	100
117	46.001	19	8	1	100	1	100
118	47.001	25	1	100	100	100	2
119	48.001	100	3	100	100	1	2
120	48.001	13	3	100	100	1	100
121	49.001	16	10	1	1	10	100
122	5.001	1	1	1	1	3	100
123	5.002	1	1	1	1	3	2
124	5.002	1	11	1	1	3	100
125	41.001	1	11	1	1	3	2
126	5.002	1	3	1	1	3	4
127	5.002	1	8	1	1	3	100
128	5.002	1	8	1	1	3	2
129	5.002	2	8	100	1	3	100
130	5.004	1	1	1	1	3	2
131	50.001	1	8	1	1	3	100
132	51.001	1	11	3	1	3	100
133	54.001	19	8	1	1	9	100
134	55.001	1	11	1	1	3	100
135	56.001	19	8	1	1	9	100
136	58.001	1	11	1	1	3	100
137	9.001	1	100	1	100	2	100
138	9.001	1	7	1	100	2	100
139	9.001	1	8	1	100	2	100
140	9.001	1	8	1	100	2	3
141	9.001	25	100	1	100	2	100
142	9.001	25	1	1	100	2	100
143	9.001	25	10	1	100	2	100
144	9.001	25	3	100	100	2	100
145	12.001	1	8	4	1	3	2
146	1.003	5	100	100	100	1	100
147	9.001	1	8	1	100	2	2
148	5.002	1	8	1	7	3	2
149	5.002	1	12	1	1	3	2
150	41.001	1	11	1	1	3	100
151	5.002	1	1	1	1	3	100
152	52.001	1	11	1	1	3	100
153	22.001	11	100	100	100	2	100
154	53.001	1	11	1	1	3	100
155	57.001	19	8	1	1	9	100
156	53.002	1	11	1	1	3	100
157	14.001	10	3	100	100	100	100
158	44.001	16	10	1	1	10	100
159	38.001	10	3	100	100	1	100
160	14.002	29	1	100	100	7	6
161	14.002	5	1	100	100	7	6
162	14.001	1	100	1	100	2	100
163	5.002	1	3	1	1	1	100
165	44.001	16	11	1	1	10	100
167	44.001	9	13	100	100	100	100
168	2.001	39	11	100	7	4	100
169	22.001	25	1	100	100	1	100
170	34.006	40	3	100	7	4	100
171	14.003	28	1	100	100	7	6
172	14.002	28	1	100	100	7	6
173	2.001	41	15	100	100	17	100
174	14.001	29	4	100	100	7	100
175	13.001	19	1	1	1	9	100
176	2.002	39	100	100	10	2	100
177	12.004	1	8	1	1	3	100
178	14.001	29	1	100	100	7	100
179	14.001	29	1	100	100	7	2
180	18.001	19	4	1	7	3	8
181	2.001	19	100	1	100	2	100
182	2.001	25	3	100	100	100	100
183	2.001	9	1	100	100	100	9
184	2.001	9	1	100	100	2	100
185	2.001	9	8	100	100	100	2
186	2.002	19	8	100	1	18	100
187	2.004	25	3	100	100	100	2
188	2.005	9	100	100	100	100	100
189	2.006	43	14	100	100	100	100
190	22.001	25	100	100	100	2	100
191	14.001	29	3	100	100	7	100
